Part_Number,Quantity,VGS_V,Value,Unit,Condition,Source,Uncertainty,Method,Use
CSD17577Q5A,RDSon,6,3.83,mOhm,"ID=16 A, TC=25 C",SLPS516 Figure 7,+/-0.1 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
CSD17577Q5A,RDSon,7,3.64,mOhm,"ID=16 A, TC=25 C",SLPS516 Figure 7,+/-0.1 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
CSD17577Q5A,RDSon,8,3.52,mOhm,"ID=16 A, TC=25 C",SLPS516 Figure 7,+/-0.1 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
CSD17577Q5A,RDSon,10,3.36,mOhm,"ID=16 A, TC=25 C",SLPS516 Figure 7,+/-0.1 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,4.5,2.08,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,5,1.88,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,6,1.61,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,7,1.52,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,8,1.45,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
AON6512,RDSon,10,1.41,mOhm,"ID=20 A, 25 C",Rev 2.1 Figure 5,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
BSZ0902NS,RDSon,4.5,2.83,mOhm,"ID=20 A, Tj=25 C",Rev 2.4 Diagram 6,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
BSZ0902NS,RDSon,5,2.68,mOhm,"ID=20 A, Tj=25 C",Rev 2.4 Diagram 6,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
BSZ0902NS,RDSon,7,2.33,mOhm,"ID=20 A, Tj=25 C",Rev 2.4 Diagram 6,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
BSZ0902NS,RDSon,8,2.27,mOhm,"ID=20 A, Tj=25 C",Rev 2.4 Diagram 6,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
BSZ0902NS,RDSon,10,2.17,mOhm,"ID=20 A, Tj=25 C",Rev 2.4 Diagram 6,+/-0.05 mOhm,read by eye from rendered page,validation of RDSon(VGS) fit
LM5176,VCC_vs_VIN,,5.0,V,"VIN=5 V, BIAS=0 V (typical curve, no stated load)",SNVSAI1D Figure 6-4 (VCC vs VIN),+/-0.1 V,read by eye from rendered page; VCC tracks VIN between ~2.6 V and ~7.4 V,gate-drive case B
